leave_id,personnel_id,leave_type,start_date,end_date,days_availed
P00244-L001,P00244,earned,2024-08-31,2024-09-06,6.0
P00244-L002,P00244,earned,2024-10-04,2024-10-11,6.9
P00244-L003,P00244,casual,2024-11-04,2024-11-12,7.7
P00244-L004,P00244,casual,2024-12-11,2024-12-16,4.5
P00244-L005,P00244,earned,2025-01-09,2025-01-18,9.2
P00244-L006,P00244,medical,2025-02-10,2025-02-25,15.0
P00244-L007,P00244,compensatory,2025-03-11,2025-03-15,3.5
P00244-L008,P00244,earned,2025-04-27,2025-05-08,10.7
P00244-L009,P00244,compensatory,2025-05-18,2025-05-24,6.3
P00244-L010,P00244,earned,2025-06-17,2025-06-21,4.1
P00244-L011,P00244,medical,2025-07-16,2025-07-24,7.6
P00244-L012,P00244,casual,2025-08-26,2025-09-07,12.1
P00244-L013,P00244,earned,2025-09-28,2025-10-05,7.0
P00244-L014,P00244,earned,2025-11-02,2025-11-08,6.3
P00244-L015,P00244,casual,2025-11-23,2025-12-02,9.1
P00244-L016,P00244,earned,2025-12-23,2026-01-02,10.7
P00244-L017,P00244,earned,2026-01-24,2026-01-27,3.0
P00244-L018,P00244,casual,2026-02-27,2026-03-09,9.9
P00244-L019,P00244,earned,2026-04-08,2026-04-14,6.3
P00244-L020,P00244,casual,2026-05-03,2026-05-09,6.5
P00244-L021,P00244,earned,2026-06-08,2026-06-13,5.5
P00244-L022,P00244,compensatory,2026-06-30,2026-07-03,3.2
P00244-L023,P00244,earned,2026-08-13,2026-08-18,4.6
P00245-L001,P00245,earned,2024-09-06,2024-09-14,7.6
P00245-L002,P00245,earned,2024-10-10,2024-10-16,5.9
P00245-L003,P00245,medical,2024-11-10,2024-11-16,6.1
P00245-L004,P00245,earned,2024-12-24,2024-12-27,2.7
P00245-L005,P00245,casual,2025-01-23,2025-02-06,14.1
P00245-L006,P00245,earned,2025-03-02,2025-03-23,20.2
P00245-L007,P00245,medical,2025-03-30,2025-04-17,18.2
P00245-L008,P00245,earned,2025-05-14,2025-05-23,9.7
P00245-L009,P00245,earned,2025-06-06,2025-06-10,3.3
P00245-L010,P00245,casual,2025-07-14,2025-07-28,14.8
P00245-L011,P00245,casual,2025-08-29,2025-09-09,11.0
P00245-L012,P00245,casual,2025-10-02,2025-10-05,3.7
P00245-L013,P00245,earned,2025-10-27,2025-11-01,5.0
P00245-L014,P00245,casual,2025-11-29,2025-12-08,8.8
P00245-L015,P00245,casual,2026-01-01,2026-01-10,8.9
P00245-L016,P00245,earned,2026-02-11,2026-02-20,8.8
P00245-L017,P00245,casual,2026-03-12,2026-03-17,5.1
P00245-L018,P00245,compensatory,2026-05-01,2026-05-07,6.2
P00245-L019,P00245,casual,2026-05-26,2026-05-28,2.1
P00245-L020,P00245,earned,2026-06-26,2026-07-01,5.5
P00245-L021,P00245,casual,2026-08-20,2026-08-26,6.1
P00246-L001,P00246,earned,2024-09-03,2024-09-16,13.3
P00246-L002,P00246,earned,2024-10-22,2024-11-06,14.2
P00246-L003,P00246,casual,2024-12-04,2024-12-17,13.4
P00246-L004,P00246,casual,2025-02-06,2025-02-09,3.6
P00246-L005,P00246,earned,2025-03-10,2025-03-19,8.0
P00246-L006,P00246,earned,2025-04-17,2025-05-04,17.9
P00246-L007,P00246,casual,2025-06-23,2025-06-30,7.3
P00246-L008,P00246,earned,2025-07-20,2025-07-31,10.5
P00246-L009,P00246,earned,2025-09-16,2025-10-06,19.7
P00246-L010,P00246,earned,2025-10-19,2025-10-22,3.0
P00246-L011,P00246,medical,2025-12-10,2025-12-16,5.8
P00246-L012,P00246,earned,2026-02-18,2026-02-22,3.9
P00246-L013,P00246,medical,2026-03-03,2026-03-13,10.4
P00246-L014,P00246,earned,2026-04-21,2026-05-16,25.2
P00246-L015,P00246,compensatory,2026-06-01,2026-06-08,7.1
P00246-L016,P00246,casual,2026-07-18,2026-07-27,8.5
P00247-L001,P00247,earned,2024-08-31,2024-09-16,15.9
P00247-L002,P00247,earned,2024-10-26,2024-11-03,8.5
P00247-L003,P00247,earned,2024-11-25,2024-12-06,11.2
P00247-L004,P00247,earned,2025-01-02,2025-01-14,11.7
P00247-L005,P00247,earned,2025-02-17,2025-02-20,2.4
P00247-L006,P00247,casual,2025-03-10,2025-03-20,10.0
P00247-L007,P00247,earned,2025-04-20,2025-05-01,11.7
P00247-L008,P00247,earned,2025-05-19,2025-05-25,6.2
P00247-L009,P00247,earned,2025-07-02,2025-07-07,4.3
P00247-L010,P00247,medical,2025-08-16,2025-08-25,9.2
P00247-L011,P00247,casual,2025-09-05,2025-09-17,12.2
P00247-L012,P00247,medical,2025-10-14,2025-10-25,11.7
P00247-L013,P00247,earned,2025-11-19,2025-11-24,5.4
P00247-L014,P00247,earned,2026-01-04,2026-01-21,16.5
P00247-L015,P00247,earned,2026-01-28,2026-02-07,10.0
P00247-L016,P00247,medical,2026-03-16,2026-03-26,10.0
P00247-L017,P00247,earned,2026-04-22,2026-04-27,4.5
P00247-L018,P00247,earned,2026-05-24,2026-05-29,5.7
P00247-L019,P00247,earned,2026-07-05,2026-07-15,10.2
P00247-L020,P00247,earned,2026-08-08,2026-08-12,4.2
P00248-L001,P00248,earned,2024-09-02,2024-09-10,8.8
P00248-L002,P00248,earned,2024-10-09,2024-10-19,9.9
P00248-L003,P00248,earned,2024-11-22,2024-12-06,13.9
P00248-L004,P00248,earned,2024-12-21,2025-01-01,11.8
P00248-L005,P00248,medical,2025-02-05,2025-02-12,7.1
P00248-L006,P00248,casual,2025-03-05,2025-03-13,8.2
P00248-L007,P00248,earned,2025-04-06,2025-04-17,10.3
P00248-L008,P00248,earned,2025-05-27,2025-05-30,2.9
P00248-L009,P00248,earned,2025-06-08,2025-06-12,4.0
P00248-L010,P00248,earned,2025-07-23,2025-07-29,6.7
P00248-L011,P00248,earned,2025-08-18,2025-08-25,6.4
P00248-L012,P00248,earned,2025-09-27,2025-10-10,12.2
P00248-L013,P00248,casual,2025-11-01,2025-11-09,8.0
P00248-L014,P00248,casual,2025-11-30,2025-12-08,8.0
P00248-L015,P00248,earned,2026-01-03,2026-01-07,3.9
P00248-L016,P00248,casual,2026-02-06,2026-02-14,7.7
P00248-L017,P00248,casual,2026-03-12,2026-03-21,9.1
P00248-L018,P00248,medical,2026-04-16,2026-04-19,3.1
P00248-L019,P00248,earned,2026-05-20,2026-05-28,8.2
P00248-L020,P00248,medical,2026-06-25,2026-07-04,8.9
P00248-L021,P00248,casual,2026-08-08,2026-08-10,1.9
P00249-L001,P00249,casual,2024-09-04,2024-09-08,4.2
P00249-L002,P00249,earned,2024-10-14,2024-10-15,1.7
P00249-L003,P00249,earned,2024-11-17,2024-11-30,12.7
P00249-L004,P00249,earned,2024-12-14,2024-12-17,3.2
P00249-L005,P00249,earned,2025-01-08,2025-01-13,5.3
P00249-L006,P00249,earned,2025-02-13,2025-02-24,11.2
P00249-L007,P00249,casual,2025-03-26,2025-04-06,10.8
P00249-L008,P00249,casual,2025-04-20,2025-04-24,3.7
P00249-L009,P00249,earned,2025-05-19,2025-05-30,11.5
P00249-L010,P00249,earned,2025-06-26,2025-06-29,2.8
P00249-L011,P00249,casual,2025-07-19,2025-07-25,6.6
P00249-L012,P00249,earned,2025-08-25,2025-08-31,5.8
P00249-L013,P00249,earned,2025-09-22,2025-09-25,2.8
P00249-L014,P00249,compensatory,2025-11-03,2025-11-07,3.8
P00249-L015,P00249,earned,2025-11-20,2025-11-26,5.8
P00249-L016,P00249,earned,2025-12-22,2025-12-28,6.0
P00249-L017,P00249,earned,2026-01-31,2026-02-04,4.3
P00249-L018,P00249,earned,2026-02-24,2026-03-06,10.2
P00249-L019,P00249,earned,2026-04-01,2026-04-14,13.6
P00249-L020,P00249,casual,2026-04-30,2026-05-08,8.6
P00249-L021,P00249,earned,2026-06-03,2026-06-11,7.7
P00249-L022,P00249,earned,2026-07-10,2026-07-20,10.0
P00249-L023,P00249,earned,2026-08-05,2026-08-11,6.4
P00250-L001,P00250,casual,2024-09-02,2024-09-09,6.6
P00250-L002,P00250,earned,2024-11-24,2024-12-03,9.1
P00250-L003,P00250,casual,2025-02-19,2025-03-18,27.4
P00250-L004,P00250,casual,2025-04-12,2025-04-21,9.4
P00250-L005,P00250,casual,2025-06-22,2025-07-04,12.1
P00250-L006,P00250,earned,2025-10-03,2025-10-29,26.3
P00250-L007,P00250,medical,2025-12-06,2025-12-27,21.7
P00250-L008,P00250,casual,2026-02-04,2026-02-11,7.3
P00250-L009,P00250,compensatory,2026-04-15,2026-05-01,16.0
P00250-L010,P00250,casual,2026-07-27,2026-08-10,14.4
P00251-L001,P00251,casual,2024-09-14,2024-09-23,9.1
P00251-L002,P00251,earned,2024-10-05,2024-10-29,23.9
P00251-L003,P00251,earned,2024-11-11,2024-11-17,6.8
P00251-L004,P00251,casual,2024-12-11,2024-12-20,9.0
P00251-L005,P00251,compensatory,2025-02-04,2025-02-05,1.8
P00251-L006,P00251,casual,2025-02-22,2025-02-27,5.1
P00251-L007,P00251,casual,2025-04-01,2025-04-10,8.6
P00251-L008,P00251,earned,2025-04-24,2025-05-07,12.8
P00251-L009,P00251,casual,2025-06-04,2025-06-14,9.3
P00251-L010,P00251,casual,2025-07-01,2025-07-11,10.4
P00251-L011,P00251,medical,2025-07-29,2025-08-06,7.6
P00251-L012,P00251,medical,2025-09-18,2025-09-24,6.5
P00251-L013,P00251,compensatory,2025-10-05,2025-10-09,4.5
P00251-L014,P00251,casual,2025-11-22,2025-12-08,15.9
P00251-L015,P00251,earned,2025-12-17,2025-12-23,5.5
P00251-L016,P00251,earned,2026-01-15,2026-01-26,10.6
P00251-L017,P00251,medical,2026-02-24,2026-03-04,7.8
P00251-L018,P00251,earned,2026-03-19,2026-03-28,9.1
P00251-L019,P00251,earned,2026-04-29,2026-05-03,4.7
P00251-L020,P00251,earned,2026-06-01,2026-06-14,13.0
P00251-L021,P00251,casual,2026-07-10,2026-07-13,2.8
P00251-L022,P00251,compensatory,2026-07-31,2026-08-09,9.2
P00252-L001,P00252,casual,2024-09-12,2024-09-20,7.3
P00252-L002,P00252,earned,2024-10-31,2024-11-05,5.8
P00252-L003,P00252,earned,2024-12-09,2024-12-15,6.6
P00252-L004,P00252,earned,2025-01-14,2025-01-22,7.5
P00252-L005,P00252,casual,2025-03-02,2025-03-17,15.0
P00252-L006,P00252,earned,2025-04-13,2025-05-02,18.5
P00252-L007,P00252,earned,2025-05-22,2025-06-01,10.4
P00252-L008,P00252,compensatory,2025-07-07,2025-07-15,7.7
P00252-L009,P00252,casual,2025-08-14,2025-08-27,12.8
P00252-L010,P00252,earned,2025-09-22,2025-10-01,8.7
P00252-L011,P00252,earned,2025-11-18,2025-11-28,10.4
P00252-L012,P00252,earned,2025-12-21,2025-12-25,4.2
P00252-L013,P00252,earned,2026-02-03,2026-02-20,16.2
P00252-L014,P00252,earned,2026-03-15,2026-03-24,9.4
P00252-L015,P00252,earned,2026-05-17,2026-05-22,4.6
P00252-L016,P00252,earned,2026-06-13,2026-06-20,6.8
P00252-L017,P00252,medical,2026-08-01,2026-08-15,14.2
P00253-L001,P00253,medical,2024-09-09,2024-09-25,15.9
P00253-L002,P00253,earned,2024-11-03,2024-11-11,7.4
P00253-L003,P00253,earned,2024-12-07,2024-12-26,18.7
P00253-L004,P00253,casual,2025-01-31,2025-02-18,17.6
P00253-L005,P00253,casual,2025-03-16,2025-03-27,11.1
P00253-L006,P00253,casual,2025-05-09,2025-05-20,10.6
P00253-L007,P00253,earned,2025-07-01,2025-07-07,5.9
P00253-L008,P00253,casual,2025-08-18,2025-09-02,14.9
P00253-L009,P00253,medical,2025-10-03,2025-10-12,9.1
P00253-L010,P00253,earned,2025-11-21,2025-11-29,7.7
P00253-L011,P00253,earned,2026-01-17,2026-02-01,15.4
P00253-L012,P00253,earned,2026-02-24,2026-02-28,4.7
P00253-L013,P00253,casual,2026-04-16,2026-04-25,8.7
P00253-L014,P00253,earned,2026-06-03,2026-06-13,9.3
P00253-L015,P00253,earned,2026-07-25,2026-08-08,14.1
P00254-L001,P00254,earned,2024-09-09,2024-09-12,2.8
P00254-L002,P00254,earned,2024-10-25,2024-10-31,6.0
P00254-L003,P00254,compensatory,2024-12-18,2024-12-27,9.3
P00254-L004,P00254,casual,2025-01-26,2025-02-01,6.5
P00254-L005,P00254,earned,2025-04-04,2025-04-17,12.9
P00254-L006,P00254,earned,2025-05-27,2025-06-04,8.2
P00254-L007,P00254,earned,2025-06-22,2025-06-29,6.3
P00254-L008,P00254,earned,2025-08-16,2025-08-26,9.7
P00254-L009,P00254,medical,2025-09-27,2025-10-07,9.1
P00254-L010,P00254,earned,2025-11-14,2025-11-23,8.8
P00254-L011,P00254,earned,2026-01-08,2026-01-16,7.1
P00254-L012,P00254,casual,2026-02-24,2026-03-06,9.6
P00254-L013,P00254,earned,2026-04-24,2026-05-09,14.9
P00254-L014,P00254,earned,2026-06-03,2026-06-10,6.8
P00254-L015,P00254,medical,2026-08-16,2026-08-22,5.5
P00255-L001,P00255,casual,2024-09-03,2024-09-16,12.4
P00255-L002,P00255,casual,2024-10-18,2024-10-30,12.3
P00255-L003,P00255,earned,2024-11-22,2024-11-30,7.8
P00255-L004,P00255,earned,2025-01-06,2025-01-13,6.3
P00255-L005,P00255,earned,2025-02-08,2025-02-15,7.1
P00255-L006,P00255,earned,2025-03-13,2025-03-20,7.5
P00255-L007,P00255,casual,2025-05-03,2025-05-09,6.2
P00255-L008,P00255,medical,2025-06-10,2025-06-24,13.6
P00255-L009,P00255,compensatory,2025-07-17,2025-07-20,3.4
P00255-L010,P00255,casual,2025-08-25,2025-09-09,14.6
P00255-L011,P00255,earned,2025-09-23,2025-09-29,6.4
P00255-L012,P00255,casual,2025-11-02,2025-11-07,5.6
P00255-L013,P00255,medical,2025-12-07,2025-12-18,10.8
P00255-L014,P00255,earned,2026-01-18,2026-02-04,16.7
P00255-L015,P00255,earned,2026-02-26,2026-03-08,10.8
P00255-L016,P00255,casual,2026-04-16,2026-05-02,16.2
P00255-L017,P00255,earned,2026-05-15,2026-05-18,3.3
P00255-L018,P00255,earned,2026-06-28,2026-07-02,3.3
P00255-L019,P00255,medical,2026-07-26,2026-07-28,2.7
P00256-L001,P00256,earned,2024-09-11,2024-09-16,4.9
P00256-L002,P00256,casual,2024-10-14,2024-10-23,8.2
P00256-L003,P00256,casual,2024-12-14,2024-12-22,7.7
P00256-L004,P00256,earned,2025-01-05,2025-01-14,9.5
P00256-L005,P00256,medical,2025-02-10,2025-02-13,3.5
P00256-L006,P00256,casual,2025-03-26,2025-04-02,7.3
P00256-L007,P00256,casual,2025-05-06,2025-05-11,5.0
P00256-L008,P00256,compensatory,2025-06-26,2025-07-13,17.0
P00256-L009,P00256,compensatory,2025-07-23,2025-08-03,11.3
P00256-L010,P00256,earned,2025-09-17,2025-09-21,4.5
P00256-L011,P00256,earned,2025-10-19,2025-11-06,17.6
P00256-L012,P00256,medical,2025-12-02,2025-12-17,15.9
P00256-L013,P00256,earned,2026-01-09,2026-01-18,8.3
P00256-L014,P00256,earned,2026-03-08,2026-03-18,9.3
P00256-L015,P00256,casual,2026-03-30,2026-04-01,2.7
P00256-L016,P00256,earned,2026-05-05,2026-05-10,4.9
P00256-L017,P00256,medical,2026-06-12,2026-06-16,4.1
P00256-L018,P00256,earned,2026-07-30,2026-08-23,24.1
P00257-L001,P00257,earned,2024-09-07,2024-09-17,10.3
P00257-L002,P00257,earned,2024-10-13,2024-10-18,4.3
P00257-L003,P00257,earned,2024-12-09,2024-12-11,2.3
P00257-L004,P00257,casual,2025-01-13,2025-01-16,3.8
P00257-L005,P00257,casual,2025-02-01,2025-02-07,6.0
P00257-L006,P00257,earned,2025-03-29,2025-04-03,5.2
P00257-L007,P00257,compensatory,2025-04-22,2025-05-01,9.5
P00257-L008,P00257,earned,2025-05-28,2025-06-02,5.8
P00257-L009,P00257,earned,2025-07-19,2025-07-24,4.8
P00257-L010,P00257,casual,2025-08-19,2025-09-01,13.6
P00257-L011,P00257,casual,2025-09-26,2025-10-07,11.2
P00257-L012,P00257,casual,2025-10-29,2025-11-04,6.1
P00257-L013,P00257,medical,2025-12-16,2025-12-25,8.6
P00257-L014,P00257,earned,2026-01-14,2026-01-19,5.5
P00257-L015,P00257,earned,2026-03-11,2026-03-25,13.9
P00257-L016,P00257,medical,2026-04-11,2026-04-16,5.2
P00257-L017,P00257,medical,2026-05-26,2026-06-07,12.0
P00257-L018,P00257,casual,2026-07-10,2026-07-21,10.7
P00257-L019,P00257,earned,2026-08-10,2026-08-22,12.3
P00258-L001,P00258,earned,2024-09-06,2024-09-12,6.1
P00258-L002,P00258,earned,2024-11-18,2024-11-30,11.1
P00258-L003,P00258,medical,2024-12-22,2025-01-12,20.7
P00258-L004,P00258,earned,2025-02-15,2025-02-18,3.0
P00258-L005,P00258,earned,2025-04-20,2025-04-25,5.5
P00258-L006,P00258,earned,2025-05-29,2025-06-12,14.1
P00258-L007,P00258,earned,2025-08-12,2025-08-18,5.9
P00258-L008,P00258,casual,2025-09-12,2025-09-24,11.9
P00258-L009,P00258,earned,2025-10-23,2025-11-07,15.3
P00258-L010,P00258,earned,2026-01-13,2026-01-26,13.1
P00258-L011,P00258,earned,2026-02-07,2026-02-24,16.4
P00258-L012,P00258,earned,2026-04-28,2026-05-08,10.2
P00258-L013,P00258,earned,2026-06-17,2026-06-21,4.5
P00258-L014,P00258,casual,2026-07-21,2026-07-29,7.5
P00259-L001,P00259,casual,2024-09-21,2024-09-25,4.6
P00259-L002,P00259,medical,2024-10-05,2024-10-11,5.3
P00259-L003,P00259,earned,2024-11-15,2024-11-18,2.6
P00259-L004,P00259,earned,2024-12-25,2024-12-31,6.6
P00259-L005,P00259,medical,2025-01-22,2025-02-02,11.3
P00259-L006,P00259,casual,2025-02-22,2025-03-07,12.9
P00259-L007,P00259,earned,2025-04-09,2025-04-15,6.3
P00259-L008,P00259,casual,2025-05-08,2025-05-18,9.8
P00259-L009,P00259,medical,2025-06-15,2025-07-03,18.0
P00259-L010,P00259,earned,2025-07-21,2025-07-28,7.5
P00259-L011,P00259,earned,2025-08-17,2025-08-22,4.9
P00259-L012,P00259,casual,2025-09-29,2025-10-06,7.2
P00259-L013,P00259,earned,2025-10-30,2025-11-18,18.6
P00259-L014,P00259,earned,2025-12-02,2025-12-07,4.3
P00259-L015,P00259,earned,2026-01-14,2026-01-21,6.9
P00259-L016,P00259,casual,2026-02-15,2026-02-17,1.7
P00259-L017,P00259,casual,2026-03-15,2026-03-24,9.7
P00259-L018,P00259,casual,2026-04-29,2026-05-13,14.1
P00259-L019,P00259,casual,2026-06-06,2026-06-10,4.1
P00259-L020,P00259,medical,2026-07-05,2026-07-13,7.8
P00259-L021,P00259,earned,2026-08-04,2026-08-07,3.7
P00260-L001,P00260,earned,2024-09-22,2024-09-28,6.2
P00260-L002,P00260,earned,2024-11-20,2024-12-03,13.2
P00260-L003,P00260,earned,2025-02-07,2025-02-16,9.3
P00260-L004,P00260,earned,2025-04-24,2025-05-01,6.6
P00260-L005,P00260,compensatory,2025-06-29,2025-07-05,6.6
P00260-L006,P00260,medical,2025-10-26,2025-11-03,8.1
P00260-L007,P00260,earned,2025-12-19,2026-01-08,20.3
P00260-L008,P00260,earned,2026-02-04,2026-02-11,7.0
P00260-L009,P00260,earned,2026-04-19,2026-05-06,17.7
P00260-L010,P00260,earned,2026-06-28,2026-07-15,17.1
P00261-L001,P00261,earned,2024-09-29,2024-10-14,14.3
P00261-L002,P00261,medical,2024-10-29,2024-11-02,4.0
P00261-L003,P00261,casual,2024-12-26,2025-01-02,7.3
P00261-L004,P00261,earned,2025-03-02,2025-03-13,10.7
P00261-L005,P00261,earned,2025-04-16,2025-04-22,6.1
P00261-L006,P00261,earned,2025-05-26,2025-06-01,5.8
P00261-L007,P00261,earned,2025-07-19,2025-08-03,15.5
P00261-L008,P00261,earned,2025-10-06,2025-10-13,6.9
P00261-L009,P00261,medical,2025-10-26,2025-11-03,8.0
P00261-L010,P00261,casual,2025-12-28,2025-12-31,3.8
P00261-L011,P00261,casual,2026-03-14,2026-03-18,3.2
P00261-L012,P00261,compensatory,2026-04-03,2026-04-07,3.3
P00261-L013,P00261,casual,2026-05-25,2026-06-05,11.0
P00261-L014,P00261,compensatory,2026-07-15,2026-07-17,2.8
P00262-L001,P00262,casual,2024-09-05,2024-09-11,6.5
P00262-L002,P00262,compensatory,2024-11-05,2024-11-27,22.2
P00262-L003,P00262,medical,2024-12-23,2025-01-01,8.8
P00262-L004,P00262,earned,2025-02-15,2025-03-07,20.2
P00262-L005,P00262,medical,2025-03-28,2025-04-10,12.4
P00262-L006,P00262,earned,2025-06-04,2025-06-06,1.9
P00262-L007,P00262,medical,2025-07-11,2025-07-24,12.7
P00262-L008,P00262,medical,2025-10-12,2025-10-18,5.7
P00262-L009,P00262,compensatory,2025-10-25,2025-11-04,10.7
P00262-L010,P00262,earned,2025-12-21,2025-12-24,3.3
P00262-L011,P00262,compensatory,2026-02-14,2026-02-22,8.0
P00262-L012,P00262,medical,2026-04-06,2026-04-19,13.1
P00262-L013,P00262,casual,2026-06-01,2026-06-13,12.6
P00262-L014,P00262,medical,2026-08-10,2026-08-15,5.7
P00263-L001,P00263,earned,2024-09-18,2024-09-26,8.2
P00263-L002,P00263,earned,2024-11-11,2024-11-20,9.7
P00263-L003,P00263,earned,2024-12-21,2024-12-26,5.7
P00263-L004,P00263,earned,2025-02-08,2025-02-18,9.8
P00263-L005,P00263,earned,2025-04-06,2025-04-17,11.3
P00263-L006,P00263,casual,2025-06-06,2025-06-10,3.8
P00263-L007,P00263,casual,2025-07-22,2025-08-12,20.8
P00263-L008,P00263,casual,2025-09-01,2025-09-11,10.0
P00263-L009,P00263,earned,2025-11-07,2025-11-20,12.8
P00263-L010,P00263,earned,2025-12-19,2025-12-27,8.2
P00263-L011,P00263,earned,2026-02-08,2026-02-17,9.2
P00263-L012,P00263,earned,2026-04-09,2026-04-22,13.7
P00263-L013,P00263,earned,2026-06-02,2026-06-20,18.1
P00263-L014,P00263,earned,2026-07-16,2026-07-29,13.4
P00264-L001,P00264,casual,2024-09-05,2024-09-13,7.2
P00264-L002,P00264,casual,2024-11-08,2024-11-17,8.4
P00264-L003,P00264,earned,2025-01-11,2025-01-18,6.7
P00264-L004,P00264,earned,2025-03-15,2025-03-29,14.2
P00264-L005,P00264,casual,2025-05-07,2025-05-13,6.1
P00264-L006,P00264,earned,2025-07-14,2025-07-25,11.5
P00264-L007,P00264,casual,2025-09-04,2025-09-07,3.5
P00264-L008,P00264,casual,2025-12-08,2025-12-19,11.5
P00264-L009,P00264,casual,2026-02-04,2026-02-25,21.2
P00264-L010,P00264,earned,2026-03-23,2026-03-30,7.4
P00264-L011,P00264,earned,2026-05-23,2026-06-02,9.3
P00264-L012,P00264,earned,2026-07-16,2026-07-21,5.8
P00265-L001,P00265,compensatory,2024-09-05,2024-09-13,7.5
P00265-L002,P00265,earned,2024-10-03,2024-10-11,7.1
P00265-L003,P00265,casual,2024-11-08,2024-11-21,13.5
P00265-L004,P00265,earned,2024-12-19,2025-01-03,15.2
P00265-L005,P00265,earned,2025-01-25,2025-01-29,4.1
P00265-L006,P00265,earned,2025-02-18,2025-02-23,5.3
P00265-L007,P00265,earned,2025-03-22,2025-03-25,3.0
P00265-L008,P00265,medical,2025-04-28,2025-05-08,10.6
P00265-L009,P00265,earned,2025-05-24,2025-06-02,8.5
P00265-L010,P00265,casual,2025-07-04,2025-07-11,7.0
P00265-L011,P00265,medical,2025-07-30,2025-08-04,5.1
P00265-L012,P00265,earned,2025-09-01,2025-09-06,4.9
P00265-L013,P00265,casual,2025-10-10,2025-10-15,5.4
P00265-L014,P00265,medical,2025-11-11,2025-11-17,6.5
P00265-L015,P00265,earned,2025-12-17,2025-12-27,10.7
P00265-L016,P00265,casual,2026-01-11,2026-01-22,10.7
P00265-L017,P00265,casual,2026-02-18,2026-03-02,11.7
P00265-L018,P00265,medical,2026-04-04,2026-04-18,14.1
P00265-L019,P00265,medical,2026-05-05,2026-05-09,4.6
P00265-L020,P00265,earned,2026-05-26,2026-06-06,11.5
P00265-L021,P00265,earned,2026-06-26,2026-07-13,16.1
P00265-L022,P00265,earned,2026-07-31,2026-08-17,17.0
P00266-L001,P00266,earned,2024-09-09,2024-09-19,10.4
P00266-L002,P00266,earned,2024-10-25,2024-11-04,9.6
P00266-L003,P00266,medical,2025-01-09,2025-01-17,7.4
P00266-L004,P00266,earned,2025-02-22,2025-02-28,6.3
P00266-L005,P00266,earned,2025-04-05,2025-04-20,15.5
P00266-L006,P00266,earned,2025-05-25,2025-06-15,20.2
P00266-L007,P00266,earned,2025-07-15,2025-07-27,12.5
P00266-L008,P00266,earned,2025-09-01,2025-09-27,26.8
P00266-L009,P00266,earned,2025-10-28,2025-11-05,8.0
P00266-L010,P00266,earned,2025-12-16,2025-12-21,5.6
P00266-L011,P00266,earned,2026-02-04,2026-03-05,28.1
P00266-L012,P00266,earned,2026-04-22,2026-04-30,7.6
P00266-L013,P00266,earned,2026-05-22,2026-06-20,29.8
P00266-L014,P00266,casual,2026-07-13,2026-07-19,6.2
P00267-L001,P00267,casual,2024-09-25,2024-10-01,6.1
P00267-L002,P00267,casual,2024-12-04,2024-12-11,6.2
P00267-L003,P00267,casual,2025-03-07,2025-03-26,19.2
P00267-L004,P00267,earned,2025-07-03,2025-07-12,8.9
P00267-L005,P00267,casual,2025-09-12,2025-09-22,10.4
P00267-L006,P00267,earned,2025-12-23,2025-12-31,8.6
P00267-L007,P00267,earned,2026-03-09,2026-03-18,8.5
P00267-L008,P00267,casual,2026-06-09,2026-06-20,10.9
P00268-L001,P00268,earned,2024-09-25,2024-10-01,6.5
P00268-L002,P00268,earned,2024-10-23,2024-10-28,5.2
P00268-L003,P00268,casual,2025-01-06,2025-01-12,5.9
P00268-L004,P00268,casual,2025-02-16,2025-03-06,17.8
P00268-L005,P00268,casual,2025-04-09,2025-04-21,12.1
P00268-L006,P00268,earned,2025-05-30,2025-06-03,4.3
P00268-L007,P00268,casual,2025-07-11,2025-07-20,9.2
P00268-L008,P00268,casual,2025-09-08,2025-09-16,8.6
P00268-L009,P00268,compensatory,2025-10-24,2025-11-07,14.8
P00268-L010,P00268,medical,2026-01-14,2026-01-20,6.1
P00268-L011,P00268,earned,2026-02-12,2026-02-22,10.5
P00268-L012,P00268,earned,2026-04-20,2026-04-29,9.0
P00268-L013,P00268,compensatory,2026-06-01,2026-06-13,12.3
P00268-L014,P00268,casual,2026-07-19,2026-08-05,17.6
P00269-L001,P00269,casual,2024-09-16,2024-09-25,8.8
P00269-L002,P00269,earned,2024-10-24,2024-11-10,16.6
P00269-L003,P00269,earned,2024-12-03,2024-12-21,18.4
P00269-L004,P00269,medical,2025-01-17,2025-01-31,13.9
P00269-L005,P00269,earned,2025-02-21,2025-03-13,20.2
P00269-L006,P00269,earned,2025-04-27,2025-05-03,6.4
P00269-L007,P00269,earned,2025-05-24,2025-06-07,13.7
P00269-L008,P00269,earned,2025-07-20,2025-07-25,4.7
P00269-L009,P00269,medical,2025-09-08,2025-09-16,8.0
P00269-L010,P00269,earned,2025-10-13,2025-10-24,11.5
P00269-L011,P00269,earned,2025-11-23,2025-11-26,3.7
P00269-L012,P00269,earned,2025-12-22,2026-01-01,10.7
P00269-L013,P00269,earned,2026-02-09,2026-02-22,12.8
P00269-L014,P00269,earned,2026-04-09,2026-04-24,15.6
P00269-L015,P00269,medical,2026-05-15,2026-05-27,12.2
P00269-L016,P00269,earned,2026-07-06,2026-07-15,8.7
P00269-L017,P00269,earned,2026-07-21,2026-08-04,13.9
P00270-L001,P00270,earned,2024-09-01,2024-09-14,12.6
P00270-L002,P00270,earned,2024-11-20,2024-11-27,6.5
