training_id,personnel_id,course_name,start_date,end_date,training_hours
P00191-TR07,P00191,Physical Efficiency Test Preparation,2025-10-08,2025-10-09,11.1
P00191-TR08,P00191,Physical Efficiency Test Preparation,2026-02-28,2026-03-04,28.7
P00191-TR09,P00191,Jungle Warfare Refresher,2026-04-24,2026-04-26,17.5
P00191-TR10,P00191,First Response and Trauma Care,2025-12-10,2025-12-14,31.3
P00191-TR11,P00191,Crowd Management,2026-04-02,2026-04-04,9.0
P00191-TR12,P00191,Weapons Refresher,2025-07-03,2025-07-06,25.8
P00192-TR01,P00192,Crowd Management,2025-03-03,2025-03-07,31.1
P00192-TR02,P00192,Jungle Warfare Refresher,2025-05-09,2025-05-10,4.0
P00192-TR03,P00192,Communications and Signals,2024-09-29,2024-10-03,32.6
P00192-TR04,P00192,Counter-IED Awareness,2026-01-04,2026-01-06,14.5
P00192-TR05,P00192,Counter-IED Awareness,2026-08-24,2026-08-26,22.2
P00192-TR06,P00192,Counter-IED Awareness,2024-12-07,2024-12-10,20.8
P00192-TR07,P00192,Jungle Warfare Refresher,2026-07-01,2026-07-02,11.9
P00192-TR08,P00192,Physical Efficiency Test Preparation,2026-07-10,2026-07-17,60.0
P00192-TR09,P00192,Jungle Warfare Refresher,2026-06-25,2026-06-26,5.2
P00192-TR10,P00192,Communications and Signals,2024-11-26,2024-11-29,19.4
P00192-TR11,P00192,Physical Efficiency Test Preparation,2026-04-04,2026-04-07,20.8
P00192-TR12,P00192,Crowd Management,2026-08-12,2026-08-13,4.5
P00192-TR13,P00192,First Response and Trauma Care,2025-04-03,2025-04-05,16.1
P00192-TR14,P00192,Crowd Management,2024-10-12,2024-10-19,50.0
P00192-TR15,P00192,First Response and Trauma Care,2026-02-20,2026-02-21,5.1
P00193-TR01,P00193,Weapons Refresher,2024-09-15,2024-09-17,19.6
P00193-TR02,P00193,Crowd Management,2025-12-12,2025-12-15,20.0
P00193-TR03,P00193,Crowd Management,2024-11-04,2024-11-06,16.2
P00193-TR04,P00193,Physical Efficiency Test Preparation,2026-05-08,2026-05-12,35.0
P00193-TR05,P00193,Physical Efficiency Test Preparation,2024-12-06,2024-12-08,20.3
P00193-TR06,P00193,Weapons Refresher,2024-09-02,2024-09-05,27.5
P00193-TR07,P00193,Jungle Warfare Refresher,2024-09-07,2024-09-13,42.2
P00193-TR08,P00193,Physical Efficiency Test Preparation,2026-04-29,2026-05-01,11.4
P00194-TR01,P00194,Stress Management Workshop,2024-10-23,2024-10-28,43.7
P00194-TR02,P00194,Communications and Signals,2025-12-11,2025-12-15,32.9
P00194-TR03,P00194,Weapons Refresher,2024-11-16,2024-11-21,39.8
P00194-TR04,P00194,Crowd Management,2026-01-02,2026-01-06,31.7
P00194-TR05,P00194,Jungle Warfare Refresher,2024-11-28,2024-12-01,26.7
P00194-TR06,P00194,Physical Efficiency Test Preparation,2024-09-08,2024-09-09,11.7
P00194-TR07,P00194,Stress Management Workshop,2025-02-13,2025-02-16,17.9
P00194-TR08,P00194,Weapons Refresher,2024-11-17,2024-11-20,24.3
P00194-TR09,P00194,First Response and Trauma Care,2025-02-01,2025-02-06,45.4
P00194-TR10,P00194,Communications and Signals,2024-11-28,2024-11-29,5.9
P00195-TR01,P00195,Weapons Refresher,2026-04-04,2026-04-06,21.8
P00195-TR02,P00195,Counter-IED Awareness,2025-10-30,2025-10-31,7.1
P00195-TR03,P00195,Physical Efficiency Test Preparation,2025-06-14,2025-06-15,9.7
P00195-TR04,P00195,Physical Efficiency Test Preparation,2024-10-23,2024-10-26,22.9
P00195-TR05,P00195,First Response and Trauma Care,2026-06-26,2026-06-30,32.5
P00195-TR06,P00195,Physical Efficiency Test Preparation,2026-08-19,2026-08-22,25.0
P00195-TR07,P00195,Crowd Management,2024-09-09,2024-09-10,7.4
P00196-TR01,P00196,Counter-IED Awareness,2026-08-13,2026-08-19,43.2
P00196-TR02,P00196,Crowd Management,2024-11-13,2024-11-19,47.6
P00196-TR03,P00196,Stress Management Workshop,2026-04-19,2026-04-22,21.0
P00196-TR04,P00196,Communications and Signals,2025-07-04,2025-07-06,16.6
P00196-TR05,P00196,Communications and Signals,2025-10-28,2025-11-02,42.1
P00196-TR06,P00196,Stress Management Workshop,2025-03-27,2025-03-28,11.6
P00196-TR07,P00196,Weapons Refresher,2025-02-08,2025-02-13,40.0
P00196-TR08,P00196,Weapons Refresher,2026-05-22,2026-05-23,8.4
P00197-TR01,P00197,Jungle Warfare Refresher,2025-01-22,2025-01-28,53.3
P00197-TR02,P00197,Physical Efficiency Test Preparation,2025-07-16,2025-07-20,26.8
P00197-TR03,P00197,Jungle Warfare Refresher,2025-04-08,2025-04-11,22.9
P00197-TR04,P00197,Weapons Refresher,2025-01-06,2025-01-13,57.0
P00198-TR01,P00198,Jungle Warfare Refresher,2025-01-27,2025-02-01,35.4
P00198-TR02,P00198,Crowd Management,2024-11-16,2024-11-22,46.4
P00198-TR03,P00198,First Response and Trauma Care,2026-01-09,2026-01-10,7.8
P00198-TR04,P00198,Counter-IED Awareness,2025-10-15,2025-10-17,11.8
P00198-TR05,P00198,Communications and Signals,2025-12-29,2025-12-30,9.7
P00198-TR06,P00198,Communications and Signals,2025-08-30,2025-09-01,19.1
P00198-TR07,P00198,Stress Management Workshop,2026-07-14,2026-07-17,26.4
P00198-TR08,P00198,Jungle Warfare Refresher,2025-09-03,2025-09-05,11.8
P00198-TR09,P00198,Stress Management Workshop,2025-08-02,2025-08-03,4.0
P00198-TR10,P00198,Crowd Management,2025-05-03,2025-05-07,24.3
P00198-TR11,P00198,Physical Efficiency Test Preparation,2026-08-16,2026-08-20,32.8
P00198-TR12,P00198,Weapons Refresher,2026-07-18,2026-07-22,29.4
P00198-TR13,P00198,Weapons Refresher,2025-10-28,2025-11-01,33.3
P00198-TR14,P00198,Weapons Refresher,2026-06-19,2026-06-25,48.6
P00199-TR01,P00199,First Response and Trauma Care,2026-05-21,2026-05-24,23.6
P00199-TR02,P00199,Communications and Signals,2025-11-06,2025-11-07,4.0
P00199-TR03,P00199,Communications and Signals,2025-03-09,2025-03-11,12.0
P00200-TR01,P00200,Physical Efficiency Test Preparation,2025-01-02,2025-01-03,9.8
P00200-TR02,P00200,Crowd Management,2025-01-21,2025-01-22,9.7
P00200-TR03,P00200,Counter-IED Awareness,2025-07-05,2025-07-09,26.3
P00200-TR04,P00200,Jungle Warfare Refresher,2026-08-23,2026-08-26,18.7
P00200-TR05,P00200,First Response and Trauma Care,2025-01-15,2025-01-16,8.5
P00200-TR06,P00200,Physical Efficiency Test Preparation,2025-05-26,2025-05-29,21.6
P00200-TR07,P00200,Communications and Signals,2025-09-15,2025-09-17,10.1
P00200-TR08,P00200,Counter-IED Awareness,2025-03-12,2025-03-15,25.1
P00200-TR09,P00200,Jungle Warfare Refresher,2025-04-06,2025-04-11,36.8
P00200-TR10,P00200,First Response and Trauma Care,2026-06-29,2026-07-01,12.5
P00200-TR11,P00200,Jungle Warfare Refresher,2024-12-14,2024-12-17,26.4
P00202-TR01,P00202,Crowd Management,2025-03-03,2025-03-05,12.4
P00202-TR02,P00202,Jungle Warfare Refresher,2025-07-02,2025-07-04,16.0
P00202-TR03,P00202,Crowd Management,2026-01-15,2026-01-20,41.6
P00202-TR04,P00202,First Response and Trauma Care,2025-03-10,2025-03-13,22.1
P00202-TR05,P00202,Jungle Warfare Refresher,2026-05-28,2026-05-29,4.9
P00202-TR06,P00202,Physical Efficiency Test Preparation,2025-02-27,2025-03-05,52.9
P00202-TR07,P00202,Crowd Management,2026-08-04,2026-08-06,19.4
P00202-TR08,P00202,Counter-IED Awareness,2024-12-23,2024-12-27,29.4
P00202-TR09,P00202,Counter-IED Awareness,2026-01-17,2026-01-19,16.0
P00203-TR01,P00203,First Response and Trauma Care,2026-02-02,2026-02-04,16.7
P00203-TR02,P00203,Jungle Warfare Refresher,2025-05-15,2025-05-16,7.8
P00203-TR03,P00203,First Response and Trauma Care,2025-12-07,2025-12-09,16.7
P00203-TR04,P00203,Jungle Warfare Refresher,2025-11-22,2025-11-23,14.1
P00203-TR05,P00203,Stress Management Workshop,2024-09-24,2024-09-25,10.0
P00203-TR06,P00203,Physical Efficiency Test Preparation,2026-03-14,2026-03-16,14.3
P00203-TR07,P00203,Physical Efficiency Test Preparation,2025-02-20,2025-02-23,29.5
P00203-TR08,P00203,Weapons Refresher,2025-08-19,2025-08-21,12.4
P00203-TR09,P00203,Communications and Signals,2026-08-08,2026-08-10,14.2
P00203-TR10,P00203,Stress Management Workshop,2026-07-28,2026-07-31,20.3
P00203-TR11,P00203,Weapons Refresher,2025-12-18,2025-12-22,29.0
P00203-TR12,P00203,Counter-IED Awareness,2026-01-13,2026-01-14,6.8
P00204-TR01,P00204,Crowd Management,2024-11-03,2024-11-05,21.2
P00204-TR02,P00204,Weapons Refresher,2025-05-15,2025-05-16,13.5
P00204-TR03,P00204,Communications and Signals,2024-12-22,2024-12-27,41.6
P00204-TR04,P00204,Communications and Signals,2025-04-15,2025-04-16,8.1
P00204-TR05,P00204,Communications and Signals,2025-05-24,2025-05-28,32.7
P00204-TR06,P00204,Physical Efficiency Test Preparation,2024-12-11,2024-12-19,60.0
P00204-TR07,P00204,Jungle Warfare Refresher,2024-11-21,2024-11-26,36.4
P00204-TR08,P00204,First Response and Trauma Care,2025-02-28,2025-03-02,13.4
P00204-TR09,P00204,Crowd Management,2026-06-25,2026-06-28,27.0
P00204-TR10,P00204,First Response and Trauma Care,2025-12-08,2025-12-09,4.2
P00204-TR11,P00204,Crowd Management,2025-02-14,2025-02-16,17.2
P00204-TR12,P00204,Weapons Refresher,2024-11-20,2024-11-22,14.6
P00204-TR13,P00204,Physical Efficiency Test Preparation,2025-09-04,2025-09-05,8.9
P00205-TR01,P00205,First Response and Trauma Care,2024-09-26,2024-10-01,35.3
P00205-TR02,P00205,Weapons Refresher,2024-09-27,2024-09-30,19.9
P00205-TR03,P00205,Jungle Warfare Refresher,2026-08-07,2026-08-13,53.4
P00205-TR04,P00205,First Response and Trauma Care,2026-05-29,2026-06-01,18.7
P00205-TR05,P00205,Jungle Warfare Refresher,2025-03-20,2025-03-21,9.0
P00205-TR06,P00205,First Response and Trauma Care,2024-12-11,2024-12-16,39.1
P00205-TR07,P00205,Weapons Refresher,2025-02-03,2025-02-05,10.9
P00205-TR08,P00205,Jungle Warfare Refresher,2026-04-23,2026-04-26,27.4
P00205-TR09,P00205,Physical Efficiency Test Preparation,2026-05-24,2026-05-28,31.2
P00205-TR10,P00205,Weapons Refresher,2026-05-27,2026-05-30,27.8
P00205-TR11,P00205,Weapons Refresher,2024-12-20,2024-12-21,9.2
P00206-TR01,P00206,First Response and Trauma Care,2025-05-23,2025-05-27,31.8
P00206-TR02,P00206,Counter-IED Awareness,2025-06-21,2025-06-28,60.0
P00206-TR03,P00206,Jungle Warfare Refresher,2025-05-18,2025-05-21,23.0
P00206-TR04,P00206,Counter-IED Awareness,2025-07-14,2025-07-20,48.2
P00206-TR05,P00206,Weapons Refresher,2025-05-09,2025-05-13,26.7
P00206-TR06,P00206,First Response and Trauma Care,2024-11-06,2024-11-07,7.3
P00206-TR07,P00206,Crowd Management,2025-10-16,2025-10-17,4.0
P00206-TR08,P00206,Jungle Warfare Refresher,2024-10-24,2024-10-29,36.2
P00206-TR09,P00206,First Response and Trauma Care,2024-11-14,2024-11-21,56.8
P00206-TR10,P00206,Stress Management Workshop,2025-04-06,2025-04-07,5.8
P00207-TR01,P00207,Weapons Refresher,2025-01-21,2025-01-24,21.7
P00207-TR02,P00207,Crowd Management,2024-11-22,2024-11-24,12.9
P00207-TR03,P00207,Counter-IED Awareness,2025-04-06,2025-04-08,15.4
P00207-TR04,P00207,Weapons Refresher,2025-03-28,2025-03-31,26.4
P00207-TR05,P00207,Physical Efficiency Test Preparation,2025-12-23,2025-12-28,36.0
P00207-TR06,P00207,Crowd Management,2024-12-28,2024-12-31,23.5
P00207-TR07,P00207,Physical Efficiency Test Preparation,2026-06-11,2026-06-12,10.9
P00207-TR08,P00207,Physical Efficiency Test Preparation,2026-03-15,2026-03-18,26.7
P00207-TR09,P00207,Communications and Signals,2026-07-23,2026-07-25,16.5
P00207-TR10,P00207,Physical Efficiency Test Preparation,2024-10-18,2024-10-19,14.1
P00207-TR11,P00207,Counter-IED Awareness,2024-10-08,2024-10-11,27.2
P00207-TR12,P00207,Counter-IED Awareness,2026-07-20,2026-07-22,15.4
P00207-TR13,P00207,Weapons Refresher,2025-06-18,2025-06-20,10.0
P00207-TR14,P00207,Crowd Management,2025-03-31,2025-04-03,24.8
P00207-TR15,P00207,Counter-IED Awareness,2025-06-13,2025-06-16,17.5
P00208-TR01,P00208,Crowd Management,2025-02-27,2025-03-01,18.0
P00208-TR02,P00208,Communications and Signals,2025-02-07,2025-02-09,19.3
P00208-TR03,P00208,First Response and Trauma Care,2026-07-05,2026-07-07,17.7
P00208-TR04,P00208,Stress Management Workshop,2025-12-02,2025-12-03,13.7
P00208-TR05,P00208,Weapons Refresher,2024-09-21,2024-09-23,17.1
P00208-TR06,P00208,Jungle Warfare Refresher,2024-09-14,2024-09-16,15.6
P00209-TR01,P00209,Stress Management Workshop,2025-12-20,2025-12-22,14.0
P00209-TR02,P00209,First Response and Trauma Care,2025-08-23,2025-08-25,11.7
P00209-TR03,P00209,Counter-IED Awareness,2025-04-24,2025-04-26,14.1
P00209-TR04,P00209,Physical Efficiency Test Preparation,2025-03-04,2025-03-09,44.5
P00209-TR05,P00209,Weapons Refresher,2025-11-18,2025-11-21,28.7
P00209-TR06,P00209,Counter-IED Awareness,2026-08-03,2026-08-04,4.0
P00209-TR07,P00209,Physical Efficiency Test Preparation,2025-03-26,2025-03-29,20.7
P00209-TR08,P00209,Crowd Management,2026-02-19,2026-02-22,25.7
P00209-TR09,P00209,Counter-IED Awareness,2026-02-02,2026-02-03,6.8
P00209-TR10,P00209,Physical Efficiency Test Preparation,2026-06-29,2026-07-01,20.0
P00209-TR11,P00209,Physical Efficiency Test Preparation,2024-11-22,2024-11-25,21.7
P00209-TR12,P00209,Physical Efficiency Test Preparation,2024-09-20,2024-09-21,7.0
P00209-TR13,P00209,Physical Efficiency Test Preparation,2024-09-20,2024-09-26,49.0
P00209-TR14,P00209,First Response and Trauma Care,2026-06-19,2026-06-20,4.0
P00209-TR15,P00209,Crowd Management,2026-05-03,2026-05-07,28.6
P00209-TR16,P00209,First Response and Trauma Care,2025-03-26,2025-03-29,27.1
P00209-TR17,P00209,Jungle Warfare Refresher,2025-06-15,2025-06-19,34.3
P00210-TR01,P00210,Jungle Warfare Refresher,2025-08-07,2025-08-10,22.1
P00210-TR02,P00210,Counter-IED Awareness,2026-05-29,2026-06-01,22.2
P00210-TR03,P00210,First Response and Trauma Care,2026-02-02,2026-02-04,19.6
P00210-TR04,P00210,Stress Management Workshop,2024-12-28,2024-12-30,14.2
P00210-TR05,P00210,Physical Efficiency Test Preparation,2024-09-07,2024-09-08,5.7
P00210-TR06,P00210,Stress Management Workshop,2024-09-14,2024-09-18,26.5
P00210-TR07,P00210,Communications and Signals,2025-09-02,2025-09-04,10.4
P00210-TR08,P00210,Jungle Warfare Refresher,2024-10-04,2024-10-05,5.2
P00211-TR01,P00211,Crowd Management,2026-05-18,2026-05-24,47.8
P00211-TR02,P00211,Stress Management Workshop,2025-07-12,2025-07-15,25.7
P00211-TR03,P00211,Jungle Warfare Refresher,2025-10-18,2025-10-22,32.5
P00211-TR04,P00211,First Response and Trauma Care,2025-05-03,2025-05-07,34.6
P00211-TR05,P00211,Stress Management Workshop,2024-10-05,2024-10-06,9.7
P00211-TR06,P00211,Counter-IED Awareness,2026-04-29,2026-05-02,22.0
P00211-TR07,P00211,Counter-IED Awareness,2026-03-18,2026-03-20,17.9
P00211-TR08,P00211,Communications and Signals,2026-06-18,2026-06-23,37.7
P00211-TR09,P00211,Stress Management Workshop,2026-08-19,2026-08-20,6.2
P00212-TR01,P00212,Jungle Warfare Refresher,2025-07-06,2025-07-07,9.4
P00212-TR02,P00212,Crowd Management,2024-11-23,2024-11-29,47.6
P00212-TR03,P00212,Weapons Refresher,2024-09-01,2024-09-03,19.7
P00212-TR04,P00212,Communications and Signals,2025-08-04,2025-08-09,40.0
P00212-TR05,P00212,Physical Efficiency Test Preparation,2024-11-23,2024-11-25,18.4
P00212-TR06,P00212,Jungle Warfare Refresher,2024-12-13,2024-12-14,8.8
P00212-TR07,P00212,Weapons Refresher,2025-08-24,2025-08-26,22.4
P00212-TR08,P00212,Weapons Refresher,2025-11-15,2025-11-17,17.7
P00212-TR09,P00212,Jungle Warfare Refresher,2026-08-25,2026-08-27,15.9
P00212-TR10,P00212,Communications and Signals,2026-08-18,2026-08-22,31.3
P00213-TR01,P00213,Communications and Signals,2025-03-11,2025-03-19,60.0
P00213-TR02,P00213,Stress Management Workshop,2025-05-10,2025-05-13,27.1
P00213-TR03,P00213,Communications and Signals,2026-04-22,2026-04-25,19.3
P00213-TR04,P00213,Jungle Warfare Refresher,2025-07-27,2025-07-29,17.2
P00213-TR05,P00213,Crowd Management,2025-07-31,2025-08-05,38.8
P00213-TR06,P00213,Physical Efficiency Test Preparation,2024-12-19,2024-12-22,23.2
P00213-TR07,P00213,First Response and Trauma Care,2026-02-26,2026-03-02,38.8
P00214-TR01,P00214,Physical Efficiency Test Preparation,2025-10-27,2025-10-29,17.6
P00214-TR02,P00214,Weapons Refresher,2024-11-30,2024-12-03,25.0
P00214-TR03,P00214,Crowd Management,2025-10-04,2025-10-05,6.8
P00214-TR04,P00214,Communications and Signals,2025-02-24,2025-02-26,11.4
P00214-TR05,P00214,Physical Efficiency Test Preparation,2025-10-17,2025-10-21,34.2
P00214-TR06,P00214,Stress Management Workshop,2025-04-16,2025-04-20,26.8
P00214-TR07,P00214,First Response and Trauma Care,2024-10-20,2024-10-23,21.7
P00214-TR08,P00214,Stress Management Workshop,2025-03-18,2025-03-21,24.8
P00214-TR09,P00214,Crowd Management,2026-03-12,2026-03-14,10.8
P00214-TR10,P00214,Stress Management Workshop,2024-10-20,2024-10-24,30.6
P00214-TR11,P00214,Physical Efficiency Test Preparation,2026-02-17,2026-02-18,6.5
P00215-TR01,P00215,Jungle Warfare Refresher,2025-02-14,2025-02-15,10.4
P00215-TR02,P00215,Counter-IED Awareness,2026-05-22,2026-05-24,17.5
P00215-TR03,P00215,Jungle Warfare Refresher,2025-04-06,2025-04-10,31.6
P00215-TR04,P00215,First Response and Trauma Care,2024-09-16,2024-09-21,37.3
P00215-TR05,P00215,First Response and Trauma Care,2026-01-14,2026-01-16,15.0
P00215-TR06,P00215,Crowd Management,2026-08-11,2026-08-14,21.0
P00215-TR07,P00215,Communications and Signals,2024-11-22,2024-11-25,19.5
P00215-TR08,P00215,Communications and Signals,2025-11-20,2025-11-23,20.2
P00215-TR09,P00215,Physical Efficiency Test Preparation,2025-12-08,2025-12-10,18.1
P00215-TR10,P00215,Stress Management Workshop,2025-08-27,2025-08-29,20.4
P00215-TR11,P00215,First Response and Trauma Care,2025-09-02,2025-09-04,19.5
P00215-TR12,P00215,First Response and Trauma Care,2025-02-18,2025-02-23,36.4
P00215-TR13,P00215,Crowd Management,2025-11-05,2025-11-07,12.9
P00215-TR14,P00215,First Response and Trauma Care,2024-12-11,2024-12-13,14.8
P00215-TR15,P00215,Stress Management Workshop,2025-11-27,2025-12-02,35.3
P00215-TR16,P00215,Jungle Warfare Refresher,2026-01-07,2026-01-08,11.5
P00216-TR01,P00216,Physical Efficiency Test Preparation,2025-01-11,2025-01-14,18.9
P00216-TR02,P00216,Crowd Management,2025-10-26,2025-10-28,18.5
P00216-TR03,P00216,Physical Efficiency Test Preparation,2026-04-14,2026-04-18,31.8
P00216-TR04,P00216,Crowd Management,2025-12-30,2026-01-05,41.8
P00216-TR05,P00216,Stress Management Workshop,2025-08-04,2025-08-07,30.1
P00216-TR06,P00216,First Response and Trauma Care,2025-07-31,2025-08-01,8.9
P00216-TR07,P00216,Communications and Signals,2026-04-08,2026-04-11,22.9
P00216-TR08,P00216,Physical Efficiency Test Preparation,2024-09-01,2024-09-03,18.4
P00216-TR09,P00216,Communications and Signals,2024-10-09,2024-10-11,21.8
P00216-TR10,P00216,Crowd Management,2025-01-10,2025-01-11,7.6
P00216-TR11,P00216,Crowd Management,2025-10-22,2025-10-26,31.5
P00216-TR12,P00216,Crowd Management,2024-10-02,2024-10-07,37.0
P00217-TR01,P00217,First Response and Trauma Care,2026-02-13,2026-02-19,51.8
P00217-TR02,P00217,Physical Efficiency Test Preparation,2026-04-28,2026-04-29,14.3
P00217-TR03,P00217,First Response and Trauma Care,2025-08-19,2025-08-22,19.2
P00217-TR04,P00217,Communications and Signals,2026-02-10,2026-02-13,25.7
P00217-TR05,P00217,First Response and Trauma Care,2025-09-12,2025-09-16,28.9
P00217-TR06,P00217,Counter-IED Awareness,2025-07-12,2025-07-14,19.3
P00217-TR07,P00217,First Response and Trauma Care,2025-06-13,2025-06-17,33.1
P00217-TR08,P00217,Crowd Management,2025-08-31,2025-09-01,9.5
P00217-TR09,P00217,Crowd Management,2024-11-13,2024-11-17,30.6
P00217-TR10,P00217,Stress Management Workshop,2025-05-05,2025-05-06,4.6
P00218-TR01,P00218,Stress Management Workshop,2025-12-22,2025-12-24,12.9
P00218-TR02,P00218,Physical Efficiency Test Preparation,2026-03-19,2026-03-24,41.1
P00218-TR03,P00218,Crowd Management,2026-02-11,2026-02-16,42.8
P00218-TR04,P00218,Stress Management Workshop,2025-08-03,2025-08-06,17.5
P00218-TR05,P00218,Stress Management Workshop,2025-01-17,2025-01-19,9.8
P00218-TR06,P00218,Counter-IED Awareness,2024-11-06,2024-11-08,15.2
P00218-TR07,P00218,First Response and Trauma Care,2025-07-10,2025-07-14,25.6
P00218-TR08,P00218,Communications and Signals,2024-10-03,2024-10-07,33.7
P00218-TR09,P00218,Communications and Signals,2025-02-03,2025-02-04,4.7
P00218-TR10,P00218,Counter-IED Awareness,2025-05-05,2025-05-06,11.2
P00218-TR11,P00218,Stress Management Workshop,2025-12-01,2025-12-03,18.3
P00219-TR01,P00219,Weapons Refresher,2025-12-21,2025-12-24,23.8
P00219-TR02,P00219,Jungle Warfare Refresher,2024-12-15,2024-12-18,23.4
P00219-TR03,P00219,First Response and Trauma Care,2024-09-25,2024-09-27,17.1
P00219-TR04,P00219,Counter-IED Awareness,2025-06-27,2025-06-29,14.4
P00219-TR05,P00219,First Response and Trauma Care,2024-11-25,2024-11-27,16.9
P00219-TR06,P00219,Weapons Refresher,2024-10-16,2024-10-19,25.5
P00219-TR07,P00219,Crowd Management,2025-03-27,2025-03-28,7.6
P00219-TR08,P00219,Counter-IED Awareness,2024-09-26,2024-09-27,13.4
P00219-TR09,P00219,Physical Efficiency Test Preparation,2025-09-24,2025-09-27,21.5
P00219-TR10,P00219,Jungle Warfare Refresher,2025-06-05,2025-06-08,19.4
P00219-TR11,P00219,Counter-IED Awareness,2024-11-10,2024-11-12,16.5
P00219-TR12,P00219,Jungle Warfare Refresher,2025-02-03,2025-02-05,9.1
P00219-TR13,P00219,Jungle Warfare Refresher,2025-10-17,2025-10-18,14.1
P00219-TR14,P00219,Weapons Refresher,2024-09-02,2024-09-06,34.3
P00219-TR15,P00219,Counter-IED Awareness,2025-05-04,2025-05-10,45.0
P00219-TR16,P00219,Crowd Management,2026-01-26,2026-01-27,6.9
P00219-TR17,P00219,First Response and Trauma Care,2025-06-15,2025-06-16,5.9
P00220-TR01,P00220,Stress Management Workshop,2025-01-21,2025-01-25,33.3
P00220-TR02,P00220,Weapons Refresher,2025-10-01,2025-10-04,19.8
P00220-TR03,P00220,Jungle Warfare Refresher,2026-08-24,2026-08-28,27.0
P00220-TR04,P00220,Communications and Signals,2026-03-03,2026-03-05,15.9
P00220-TR05,P00220,Jungle Warfare Refresher,2026-02-05,2026-02-06,12.8
P00220-TR06,P00220,Counter-IED Awareness,2024-12-26,2024-12-29,25.0
P00220-TR07,P00220,Physical Efficiency Test Preparation,2025-09-10,2025-09-12,20.8
P00220-TR08,P00220,Stress Management Workshop,2025-11-22,2025-11-25,18.6
P00220-TR09,P00220,Crowd Management,2026-07-02,2026-07-04,18.7
P00220-TR10,P00220,Communications and Signals,2026-05-14,2026-05-18,30.4
P00220-TR11,P00220,Weapons Refresher,2024-11-06,2024-11-11,39.3
P00220-TR12,P00220,Communications and Signals,2025-09-01,2025-09-02,12.3
P00220-TR13,P00220,Physical Efficiency Test Preparation,2025-12-11,2025-12-13,20.1
P00220-TR14,P00220,Communications and Signals,2025-11-10,2025-11-12,20.4
P00220-TR15,P00220,First Response and Trauma Care,2026-06-21,2026-06-23,18.2
P00221-TR01,P00221,First Response and Trauma Care,2025-03-27,2025-03-28,7.8
P00221-TR02,P00221,Counter-IED Awareness,2025-11-26,2025-11-28,12.0
P00221-TR03,P00221,Communications and Signals,2025-09-10,2025-09-13,28.8
P00221-TR04,P00221,Stress Management Workshop,2025-06-12,2025-06-15,24.5
P00221-TR05,P00221,Physical Efficiency Test Preparation,2026-07-16,2026-07-18,18.6
P00221-TR06,P00221,Weapons Refresher,2026-05-01,2026-05-05,31.2
P00221-TR07,P00221,Jungle Warfare Refresher,2025-03-26,2025-03-28,15.7
P00221-TR08,P00221,First Response and Trauma Care,2025-11-22,2025-11-26,26.7
P00221-TR09,P00221,Stress Management Workshop,2025-02-24,2025-02-25,13.3
P00221-TR10,P00221,Physical Efficiency Test Preparation,2025-08-10,2025-08-14,33.5
P00221-TR11,P00221,Weapons Refresher,2025-01-16,2025-01-17,12.2
P00221-TR12,P00221,Crowd Management,2025-08-08,2025-08-11,29.4
P00221-TR13,P00221,Stress Management Workshop,2026-02-04,2026-02-06,20.0
P00221-TR14,P00221,Weapons Refresher,2026-05-11,2026-05-17,46.3
P00221-TR15,P00221,Weapons Refresher,2025-01-05,2025-01-08,23.4
P00222-TR01,P00222,First Response and Trauma Care,2024-09-25,2024-10-01,43.5
P00222-TR02,P00222,Weapons Refresher,2025-11-01,2025-11-02,10.4
P00222-TR03,P00222,Jungle Warfare Refresher,2025-06-05,2025-06-11,53.3
P00222-TR04,P00222,Counter-IED Awareness,2024-10-19,2024-10-21,16.2
P00222-TR05,P00222,Communications and Signals,2026-08-08,2026-08-12,30.6
P00222-TR06,P00222,Communications and Signals,2026-05-26,2026-06-03,60.0
P00222-TR07,P00222,Communications and Signals,2025-07-24,2025-07-27,20.4
P00223-TR01,P00223,Jungle Warfare Refresher,2026-01-12,2026-01-17,34.3
P00223-TR02,P00223,First Response and Trauma Care,2025-02-02,2025-02-06,32.3
P00223-TR03,P00223,Stress Management Workshop,2026-06-25,2026-06-27,10.7
P00223-TR04,P00223,Crowd Management,2025-02-21,2025-02-23,17.0
P00223-TR05,P00223,Crowd Management,2026-06-03,2026-06-05,19.5
P00223-TR06,P00223,Crowd Management,2026-05-12,2026-05-15,24.5
P00223-TR07,P00223,Crowd Management,2025-02-22,2025-02-28,50.4
P00223-TR08,P00223,Counter-IED Awareness,2026-06-24,2026-06-28,29.6
P00223-TR09,P00223,Jungle Warfare Refresher,2026-03-10,2026-03-16,50.3
P00223-TR10,P00223,First Response and Trauma Care,2026-01-20,2026-01-22,13.9
P00223-TR11,P00223,Crowd Management,2025-09-29,2025-09-30,8.9
P00224-TR01,P00224,Stress Management Workshop,2025-08-22,2025-08-27,41.7
P00224-TR02,P00224,Weapons Refresher,2026-02-22,2026-02-24,13.2
P00224-TR03,P00224,Counter-IED Awareness,2025-10-05,2025-10-07,16.8
P00224-TR04,P00224,Crowd Management,2026-08-19,2026-08-23,29.7
P00224-TR05,P00224,Physical Efficiency Test Preparation,2026-07-15,2026-07-18,23.9
P00224-TR06,P00224,Counter-IED Awareness,2026-01-20,2026-01-25,37.9
